,AEP
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.021531100478468845
Growth 1yr High Est,0.030303030303030276
Growth 1yr Consensus Est,0.004385964912280715
Growth 2yr Low Est,0.038134205261988074
Growth 2yr High Est,0.04682572329631152
Growth 2yr Consensus Est,0.042479964279149796
Growth 5yr Low Est,0.05936218929479575
Growth 5yr High Est,0.06253418485131218
Growth 5yr Consensus Est,0.06094818707305397
Growth 5yr Actual/Est,0.05949923748377728
Growth 3yr Historic,0.03669682168409466
