,NSC
Price/Earnings (TTM),18.44221
Price/Sales (TTM),3.92048
Price/Book (MRQ),2.91876
Price/Cash Flow (TTM),12.15525
5yr Low,64.51
5yr High,219.88
5yr Avg Return,0.11781666666666667
EPS Growth 5yr,0.09940310000000001
Revenue Growth 5yr,-0.0057082999999999995
Dividend Growth 5yr,0.1015137
Short Int Current Month,3614384.0
Short Int Prev Month,3167639.0
Short Int Pct of Float,0.013042
Days to Cover,1.99404
Float,255.8841
Shares Outstanding,256.1791
Institutions Holding Shares,1620.0
% Held by Institutions,0.731472
FCF Growth 5yr,0.34847463621602576
