,NSC
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.27558257345491377
Growth 1yr High Est,-0.07572815533980592
Growth 1yr Consensus Est,-0.17565536439735985
Growth 2yr Low Est,0.056614307678137465
Growth 2yr High Est,0.07137961980908869
Growth 2yr Consensus Est,0.06399696374361308
Growth 5yr Low Est,0.15660385713577196
Growth 5yr High Est,0.1674035403539238
Growth 5yr Consensus Est,0.16200369874484788
Growth 5yr Actual/Est,0.14916738031070087
Growth 3yr Historic,0.1291355066965102
