,PPG
% Above Low,0.31829999999999997
% Held by Institutions,0.7693000000000001
52-Wk Range,['69.77 - 134.36']
Annual Dividend $,2.04
Annual Dividend %,0.0226
Ask,94.5
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,1.2
Bid,85.0
Bid Size,300.0
Closing Price,91.98
Day Change $,2.13
Day Change %,0.023700000000000002
Day High,92.71
Day Low,90.87
Dividend Pay Date,2020-06-12 00:00:00
"EPS (TTM, GAAP)",4.93
Ex-dividend,2020-05-08 00:00:00
Ex-dividend Date,05/08/20
Historical Volatility,0.395
Last (size),396.0
Last (time),6:30p ET 05/08/20
Market Cap,21.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",18.66
Prev Close,89.85
Shares Outstanding,235.9M
Short Interest,0.016
Today's Open,91.54
Volume,1818755.0
Volume 10-day Avg,2127661.0
Volume Past Day,(Below Average)
