,PPG
Price/Earnings (TTM),18.66333
Price/Sales (TTM),1.45649
Price/Book (MRQ),4.59459
Price/Cash Flow (TTM),12.60176
5yr Low,69.77
5yr High,134.36
5yr Avg Return,-0.00918333333333333
EPS Growth 5yr,0.0676036
Revenue Growth 5yr,0.0047548
Dividend Growth 5yr,0.0861224
Short Int Current Month,3766838.0
Short Int Prev Month,3139998.0
Short Int Pct of Float,0.0160355
Days to Cover,1.81089
Float,234.9374
Shares Outstanding,235.9234
Institutions Holding Shares,1136.0
% Held by Institutions,0.7692990000000001
FCF Growth 5yr,0.07192951498323161
