,ANSS
Price/Earnings (TTM),54.8352
Price/Sales (TTM),14.84283
Price/Book (MRQ),6.77857
Price/Cash Flow (TTM),47.09339
5yr Low,80.51
5yr High,299.06
5yr Avg Return,0.24861666666666668
EPS Growth 5yr,0.1410989
Revenue Growth 5yr,0.10122619999999999
Dividend Growth 5yr,
Short Int Current Month,2417363.0
Short Int Prev Month,2358417.0
Short Int Pct of Float,0.028537499999999997
Days to Cover,4.27281
Float,84.7399
Shares Outstanding,85.59544
Institutions Holding Shares,931.0
% Held by Institutions,1.003168
FCF Growth 5yr,0.05069025742289379
