,FANG
% Above Low,1.8921000000000001
% Held by Institutions,0.9925
52-Wk Range,['14.55 - 114.14']
Annual Dividend $,1.5
Annual Dividend %,0.037200000000000004
Ask,42.45
Ask Size,1700.0
B/A Ratio,0.17647058823529413
B/A Size,300x1700
Beta,2.3
Bid,42.08
Bid Size,300.0
Closing Price,42.08
Day Change $,1.71
Day Change %,0.0424
Day High,42.49
Day Low,40.7
Dividend Pay Date,2020-05-21 00:00:00
"EPS (TTM, GAAP)",-0.35
Ex-dividend,2020-05-13 00:00:00
Ex-dividend Date,05/13/20
Historical Volatility,0.948
Last (size),15.0
Last (time),3:59p ET 05/08/20
Market Cap,6.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,40.37
Shares Outstanding,157.8M
Short Interest,0.0611
Today's Open,41.56
Volume,2806790.0
Volume 10-day Avg,4060555.0
Volume Past Day,(Light)
