,FANG
Next Earnings Announcement,2020-08-04 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,-1.4243070362473347
Growth 1yr High Est,-0.14084507042253513
Growth 1yr Consensus Est,-0.7825760533349349
Growth 2yr Low Est,-1.0940630658623607
Growth 2yr High Est,0.15396271069037187
Growth 2yr Consensus Est,-0.47005017758599443
Growth 5yr Low Est,-0.5470315329311803
Growth 5yr High Est,0.07698135534518594
Growth 5yr Consensus Est,-0.23502508879299722
Growth 5yr Actual/Est,-0.08329680872802678
Growth 3yr Historic,0.07844596238974433
