,Earnings Result,Actual,Estimate,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 1/2018,Neutral,3.77,,,3.61,,3.74,,3.675,3.77,,
Year ending 1/2019,Neutral,4.18,,0.10875331564986723,3.91,0.08310249307479234,4.0,0.06951871657753994,3.955,4.18,0.10875331564986723,0.07631060482616614
Year ending 1/2020,Positive Surprise,2.91,,-0.3038277511961721,,0.0,,0.0,2.75,2.91,-0.3038277511961721,0.0
Year ending 1/2021,Neutral,,-0.55,0.0,-2.53,-1.6470588235294117,1.17,-0.7075,-0.55,-0.55,-1.1890034364261168,-1.1772794117647059
Year ending 1/2022,Neutral,,1.42,0.0,0.73,-1.2885375494071147,2.52,1.1538461538461542,1.42,1.42,-3.5818181818181816,-0.06734569778048027
