,M
Next Earnings Announcement,2020-07-01 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-1.6470588235294117
Growth 1yr High Est,-0.7075
Growth 1yr Consensus Est,-1.1772794117647059
Growth 2yr Low Est,-1.4677981864682632
Growth 2yr High Est,0.22317307692307708
Growth 2yr Consensus Est,-0.6223125547725931
Growth 5yr Low Est,-0.7131234699654335
Growth 5yr High Est,0.12896621760592353
Growth 5yr Consensus Est,-0.292078626179755
Growth 5yr Actual/Est,-1.2414740134476507
Growth 3yr Historic,-0.04876860888657622
