,MCD
Price/Earnings (TTM),23.72469
Price/Sales (TTM),6.46333
Price/Book (MRQ),
Price/Cash Flow (TTM),18.07469
5yr Low,87.5
5yr High,221.93
5yr Avg Return,0.11985
EPS Growth 5yr,0.1047696
Revenue Growth 5yr,-0.051409500000000004
Dividend Growth 5yr,0.0759633
Short Int Current Month,8670237.0
Short Int Prev Month,7617160.0
Short Int Pct of Float,0.0116759
Days to Cover,1.79447
Float,742.6637
Shares Outstanding,743.5151
Institutions Holding Shares,2715.0
% Held by Institutions,0.651879
FCF Growth 5yr,0.05356813183602205
