,MCD
% Below High,0.1834
% Held by Institutions,0.6518999999999999
52-Wk Range,['124.23 - 221.93']
Annual Dividend $,5.0
Annual Dividend %,0.0276
Ask,182.0
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,0.7
Bid,181.24
Bid Size,400.0
Closing Price,181.23
Day Change $,0.11
Day Change %,0.0006
Day High,183.43
Day Low,179.91
Dividend Pay Date,2020-03-16 00:00:00
"EPS (TTM, GAAP)",7.63
Ex-dividend,2020-02-28 00:00:00
Ex-dividend Date,02/28/20
Historical Volatility,0.391
Last (size),15.0
Last (time),6:30p ET 05/08/20
Market Cap,134.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",23.72
Prev Close,181.12
Shares Outstanding,743.5M
Short Interest,0.011699999999999999
Today's Open,183.2
Volume,3411874.0
Volume 10-day Avg,3974495.0
Volume Past Day,(Below Average)
