,AME
% Below High,0.17579999999999998
% Held by Institutions,0.8758
52-Wk Range,['54.82 - 102.31']
Annual Dividend $,0.72
Annual Dividend %,0.0086
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.2
Bid,60.0
Bid Size,
Change Since Close,0.00| |(0.00%)
Closing Price,84.32
Day Change $,1.01
Day Change %,0.0121
Day High,85.09
Day Low,83.64
Dividend Pay Date,2020-06-30 00:00:00
"EPS (TTM, GAAP)",4.08
Ex-dividend,2020-06-11 00:00:00
Ex-dividend Date,06/11/20
Historical Volatility,0.44200000000000006
Last (size),879.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,19.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",20.44
Prev Close,83.31
Shares Outstanding,229.4M
Short Interest,0.012
Today's Open,84.73
Volume,1128573.0
Volume 10-day Avg,1444520.0
Volume Past Day,(Light)
