,SEE
Price/Earnings (TTM),15.48589
Price/Sales (TTM),0.95086
Price/Book (MRQ),
Price/Cash Flow (TTM),10.01702
5yr Low,17.06
5yr High,55.84
5yr Avg Return,-0.05856666666666666
EPS Growth 5yr,0.0506816
Revenue Growth 5yr,-0.0917172
Dividend Growth 5yr,0.0424022
Short Int Current Month,5250451.0
Short Int Prev Month,4725833.0
Short Int Pct of Float,0.033961
Days to Cover,2.99952
Float,154.6074
Shares Outstanding,155.6626
Institutions Holding Shares,583.0
% Held by Institutions,0.932776
FCF Growth 5yr,-0.10207512479532665
