,SRE
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.4233128834355828
Growth 1yr High Est,0.3416815742397139
Growth 1yr Consensus Est,0.38249722883764836
Growth 2yr Low Est,0.26840931528100975
Growth 2yr High Est,0.2161741204531903
Growth 2yr Consensus Est,0.24229171786710002
Growth 5yr Low Est,0.12158329841720386
Growth 5yr High Est,0.11736349807446156
Growth 5yr Consensus Est,0.11947339824583271
Growth 5yr Actual/Est,0.10062094623594126
Growth 3yr Historic,0.06122761631566043
