,SRE
Price/Earnings (TTM),19.59881
Price/Sales (TTM),3.33499
Price/Book (MRQ),2.0312
Price/Cash Flow (TTM),12.03358
5yr Low,86.72
5yr High,161.87
5yr Avg Return,0.043983333333333326
EPS Growth 5yr,0.053098599999999996
Revenue Growth 5yr,-0.0036755
Dividend Growth 5yr,0.030362399999999998
Short Int Current Month,5235051.0
Short Int Prev Month,5475969.0
Short Int Pct of Float,0.0179177
Days to Cover,3.15035
Float,292.3566
Shares Outstanding,292.5334
Institutions Holding Shares,1089.0
% Held by Institutions,0.858087
FCF Growth 5yr,0.5440389061518847
