,Earnings Result,Actual,Estimate,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 9/2017,Neutral,12.38,,,12.05,,12.4,,12.225000000000001,12.38,,
Year ending 9/2018,Neutral,17.83,,0.4402261712439417,17.45,0.4481327800829875,17.77,0.4330645161290321,17.61,17.83,0.4402261712439417,0.4405986481060098
Year ending 9/2019,Neutral,18.27,,0.024677509814918785,17.4,-0.002865329512893977,18.36,0.03320202588632526,17.88,18.27,0.024677509814918785,0.015168348186715641
Year ending 9/2020,Neutral,,12.95,0.0,9.92,-0.4298850574712644,15.85,-0.13671023965141615,12.95,12.95,-0.29118773946360155,-0.28329764856134027
Year ending 9/2021,Neutral,,12.11,0.0,7.54,-0.23991935483870963,24.85,0.5678233438485805,12.11,12.11,-0.06486486486486487,0.16395199450493542
