,TDG
Price/Earnings (TTM),27.63789
Price/Sales (TTM),3.20878
Price/Book (MRQ),
Price/Cash Flow (TTM),18.72992
5yr Low,180.76
5yr High,673.51
5yr Avg Return,0.1240333333333333
EPS Growth 5yr,0.32552889999999995
Revenue Growth 5yr,0.1709309
Dividend Growth 5yr,
Short Int Current Month,3549701.0
Short Int Prev Month,3278161.0
Short Int Pct of Float,0.0676219
Days to Cover,3.46753
Float,52.84098
Shares Outstanding,54.07232
Institutions Holding Shares,743.0
% Held by Institutions,1.001391
FCF Growth 5yr,0.15573353190930672
