,AAPL
Price/Earnings (TTM),23.81154
Price/Sales (TTM),4.9127
Price/Book (MRQ),16.7468
Price/Cash Flow (TTM),19.09952
5yr Low,89.47
5yr High,327.85
5yr Avg Return,0.21436666666666668
EPS Growth 5yr,0.1299321
Revenue Growth 5yr,0.0731487
Dividend Growth 5yr,0.1061614
Short Int Current Month,34636195.0
Short Int Prev Month,39059449.0
Short Int Pct of Float,0.007921899999999999
Days to Cover,0.90492
Float,4321.135
Shares Outstanding,4334.335
Institutions Holding Shares,4228.0
% Held by Institutions,0.598645
FCF Growth 5yr,-0.021708178976017112
