,AAPL
% Below High,0.054000000000000006
% Held by Institutions,0.5986
52-Wk Range,['170.27 - 327.85']
Annual Dividend $,3.28
Annual Dividend %,0.0108
Ask,310.5
Ask Size,300.0
Ask close,0.0
B/A Ratio,1.6666666666666667
B/A Size,500x300
Beta,1.2
Bid,310.41
Bid Size,500.0
Bid close,227.18
Change Since Close,0.37| |(0.12%)
Closing Price,310.13
Day Change $,7.21
Day Change %,0.023799999999999998
Day High,310.35
Day Low,304.29
Dividend Pay Date,2020-05-14 00:00:00
"EPS (TTM, GAAP)",12.76
Ex-dividend,2020-05-08 00:00:00
Ex-dividend Date,05/08/20
Historical Volatility,0.408
Last (size),27.0
Last (time),4:15p ET 05/08/20
Last Trade,310.5
Market Cap,1.3T
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",23.81
Prev Close,302.92
Shares Outstanding,4.3B
Short Interest,0.0079
Today's Open,305.64
Volume,33470393.0
Volume 10-day Avg,36385759.0
Volume Past Day,(Average)
