,IVZ
% Above Low,0.1081
% Held by Institutions,0.7937000000000001
52-Wk Range,['7.20 - 21.50']
Annual Dividend $,0.62
Annual Dividend %,0.0808
Ask,8.05
Ask Size,900.0
B/A Ratio,0.1111111111111111
B/A Size,100x900
Beta,1.5
Bid,7.8
Bid Size,100.0
Closing Price,7.98
Day Change $,0.465
Day Change %,0.061900000000000004
Day High,8.0
Day Low,7.66
Dividend Pay Date,2020-06-03 00:00:00
"EPS (TTM, GAAP)",1.02
Ex-dividend,2020-05-08 00:00:00
Ex-dividend Date,05/08/20
Historical Volatility,0.654
Last (size),100.0
Last (time),6:30p ET 05/08/20
Market Cap,3.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",7.52
Prev Close,7.52
Shares Outstanding,458.9M
Short Interest,0.08439999999999999
Today's Open,7.67
Volume,6720610.0
Volume 10-day Avg,9267699.0
Volume Past Day,(Light)
