,GPN
Price/Earnings (TTM),82.5461
Price/Sales (TTM),8.81115
Price/Book (MRQ),1.91265
Price/Cash Flow (TTM),32.62103
5yr Low,50.42
5yr High,209.62
5yr Avg Return,0.2606
Short Int Current Month,4570522.0
Short Int Prev Month,4586456.0
Short Int Pct of Float,0.0153589
Days to Cover,1.97487
Float,297.5763
Shares Outstanding,299.1057
Institutions Holding Shares,1151.0
% Held by Institutions,0.9078579999999999
FCF Growth 5yr,0.39258319291800114
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
