,GPN,Rating Since
newConstructs,4,2020-05-08
researchTeam,hold,2020-05-01
theStreet,buy,2020-05-07
cfra,4,2020-03-18
creditSuisse,outperform,2020-01-23
ford,3,2020-02-14
marketEdge opinion,neutralfromavoid,2020-05-01
marketEdge,2,2020-05-01
