,GPN
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,26.0
Growth 1yr Low Est,-0.18566775244299671
Growth 1yr High Est,0.1594202898550725
Growth 1yr Consensus Est,-0.013123731293962104
Growth 2yr Low Est,0.0021661237785016163
Growth 2yr High Est,0.19915458937198072
Growth 2yr Consensus Est,0.10066035657524117
Growth 5yr Low Est,0.12498687909753167
Growth 5yr High Est,0.22161795346108043
Growth 5yr Consensus Est,0.17330241627930604
Growth 5yr Actual/Est,0.18668940384156357
Growth 3yr Historic,0.12318072833330929
