,FTI
Price/Earnings (TTM),
Price/Sales (TTM),0.24905
Price/Book (MRQ),0.83661
Price/Cash Flow (TTM),
5yr Low,4.49
5yr High,36.14
5yr Avg Return,-0.25177499999999997
Short Int Current Month,8161217.0
Short Int Prev Month,9376550.0
Short Int Pct of Float,0.0182924
Days to Cover,2.12371
Float,445.1635
Shares Outstanding,448.3034
Institutions Holding Shares,598.0
% Held by Institutions,0.8556570000000001
FCF Growth 5yr,2.019825873049176
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
