,FTI
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-1.25
Growth 2yr High Est,-0.15384615384615385
Growth 2yr Consensus Est,-0.7019230769230769
Growth 5yr Low Est,-1.25
Growth 5yr High Est,-0.15384615384615385
Growth 5yr Consensus Est,-0.7019230769230769
Growth 5yr Actual/Est,-0.12155659630134957
Growth 3yr Historic,-0.1154755152202685
