,CMCSA
Price/Earnings (TTM),14.09706
Price/Sales (TTM),1.49406
Price/Book (MRQ),1.99237
Price/Cash Flow (TTM),6.54493
5yr Low,25.01
5yr High,47.74
5yr Avg Return,0.05923333333333333
EPS Growth 5yr,0.1211036
Revenue Growth 5yr,0.0963594
Dividend Growth 5yr,0.1329568
Short Int Current Month,83265917.0
Short Int Prev Month,85566805.0
Short Int Pct of Float,0.018466899999999998
Days to Cover,3.70222
Float,4517.461
Shares Outstanding,4564.158
Institutions Holding Shares,2557.0
% Held by Institutions,0.825865
FCF Growth 5yr,0.08654984805314019
