,CMCSA
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,32.0
Growth 1yr Low Est,-0.2425373134328359
Growth 1yr High Est,-0.19811320754716988
Growth 1yr Consensus Est,-0.2203252604900029
Growth 2yr Low Est,-0.0030420557311963137
Growth 2yr High Est,0.04996300406955234
Growth 2yr Consensus Est,0.023460474169178014
Growth 5yr Low Est,0.07623851467068316
Growth 5yr High Est,0.14181374572519584
Growth 5yr Consensus Est,0.1090261301979395
Growth 5yr Actual/Est,0.1178816447140642
Growth 3yr Historic,0.11632876451551494
