,CMCSA
% Above Low,0.15230000000000002
% Held by Institutions,0.8259000000000001
52-Wk Range,['31.71 - 47.74']
Annual Dividend $,0.92
Annual Dividend %,0.0259
Ask,36.7
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.0
Bid,36.31
Bid Size,200.0
Closing Price,36.54
Day Change $,0.955
Day Change %,0.0268
Day High,36.65
Day Low,36.0
Dividend Pay Date,2020-04-22 00:00:00
"EPS (TTM, GAAP)",2.52
Ex-dividend,2020-03-31 00:00:00
Ex-dividend Date,03/31/20
Historical Volatility,0.355
Last (size),61.0
Last (time),4:15p ET 05/08/20
Market Cap,166.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",14.1
Prev Close,35.58
Shares Outstanding,4.6B
Short Interest,0.018500000000000003
Today's Open,36.25
Volume,12979665.0
Volume 10-day Avg,20316393.0
Volume Past Day,(Light)
