,PNC
Price/Earnings (TTM),9.77181
Price/Sales (TTM),2.45659
Price/Book (MRQ),0.90398
Price/Cash Flow (TTM),7.21387
5yr Low,77.4
5yr High,163.59
5yr Avg Return,0.05463333333333334
EPS Growth 5yr,0.0923918
Revenue Growth 5yr,0.0783704
Dividend Growth 5yr,0.1744061
Short Int Current Month,4955800.0
Short Int Prev Month,5144999.0
Short Int Pct of Float,0.0115868
Days to Cover,1.66579
Float,423.2841
Shares Outstanding,424.2604
Institutions Holding Shares,1570.0
% Held by Institutions,0.8160989999999999
FCF Growth 5yr,
