,UDR
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,12.0
Growth 2yr High Est,0.0
Growth 2yr Consensus Est,6.0
Growth 5yr Low Est,12.0
Growth 5yr High Est,0.0
Growth 5yr Consensus Est,6.0
Growth 5yr Actual/Est,0.05948285948285953
Growth 3yr Historic,0.1332923832923833
