,UDR
% Above Low,0.313
% Held by Institutions,0.9842
52-Wk Range,['29.20 - 51.25']
Annual Dividend $,1.44
Annual Dividend %,0.0381
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.6
Bid,30.27
Bid Size,
Closing Price,38.34
Day Change $,0.5
Day Change %,0.0132
Day High,39.04
Day Low,37.73
Dividend Pay Date,2020-04-30 00:00:00
"EPS (TTM, GAAP)",0.56
Ex-dividend,2020-04-08 00:00:00
Ex-dividend Date,04/08/20
Historical Volatility,0.42200000000000004
Last (size),48700.0
Last (time),6:30p ET 05/08/20
Market Cap,11.3B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",69.05
Prev Close,37.84
Shares Outstanding,294.9M
Short Interest,0.024399999999999998
Today's Open,38.51
Volume,1695864.0
Volume 10-day Avg,1902649.0
Volume Past Day,(Below Average)
