,BKNG
Price/Earnings (TTM),12.87
Price/Sales (TTM),3.93532
Price/Book (MRQ),10.07972
Price/Cash Flow (TTM),11.15094
5yr Low,954.02
5yr High,2228.99
5yr Avg Return,0.04941666666666667
EPS Growth 5yr,0.19526330000000003
Revenue Growth 5yr,0.12282180000000001
Dividend Growth 5yr,
Short Int Current Month,1479343.0
Short Int Prev Month,1211372.0
Short Int Pct of Float,0.0362346
Days to Cover,2.51293
Float,40.82686
Shares Outstanding,41.06181
Institutions Holding Shares,1747.0
% Held by Institutions,0.9438179999999999
FCF Growth 5yr,0.09657684435365117
