,BKNG
% Above Low,0.2922
% Held by Institutions,0.9438
52-Wk Range,"['1,107.29 - 2,094.00']"
Annual Dividend $,
Annual Dividend %,
Ask,1438.0
Ask Size,100.0
Ask close,0.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,1431.15
Bid Size,100.0
Bid close,1367.84
Change Since Close,7.17| |(0.50%)
Closing Price,1430.83
Day Change $,-13.08
Day Change %,-0.0091
Day High,1444.25
Day Low,1366.1
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",112.19
Ex-dividend Date,No dividend
Historical Volatility,0.423
Last (size),15.0
Last (time),4:00p ET 05/08/20
Last Trade,1438.0
Market Cap,58.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",12.87
Prev Close,1443.91
Shares Outstanding,40.9M
Short Interest,0.0362
Today's Open,1440.99
Volume,877662.0
Volume 10-day Avg,542802.0
Volume Past Day,(Heavy Day)
