,ODFL
% Below High,0.013600000000000001
% Held by Institutions,0.7666
52-Wk Range,['87.25 - 154.87']
Annual Dividend $,0.6133
Annual Dividend %,0.0040999999999999995
Ask,155.0
Ask Size,100.0
B/A Ratio,43.0
B/A Size,4300x100
Beta,1.0
Bid,140.0
Bid Size,4300.0
Closing Price,152.76
Day Change $,3.05
Day Change %,0.0204
Day High,154.65
Day Low,151.15
Dividend Pay Date,2020-03-18 00:00:00
"EPS (TTM, GAAP)",5.12
Ex-dividend,2020-03-03 00:00:00
Ex-dividend Date,03/03/20
Historical Volatility,0.406
Last (size),3.0
Last (time),4:15p ET 05/08/20
Market Cap,18.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",29.24
Prev Close,149.71
Shares Outstanding,117.9M
Short Interest,0.0342
Today's Open,151.94
Volume,685445.0
Volume 10-day Avg,833002.0
Volume Past Day,(Below Average)
