,ODFL
Price/Earnings (TTM),29.83244
Price/Sales (TTM),4.38848
Price/Book (MRQ),5.98335
Price/Cash Flow (TTM),20.67644
5yr Low,32.61
5yr High,154.87
5yr Avg Return,0.25203333333333333
EPS Growth 5yr,0.1977993
Revenue Growth 5yr,0.0806728
Dividend Growth 5yr,
Short Int Current Month,3565764.0
Short Int Prev Month,3350053.0
Short Int Pct of Float,0.0341807
Days to Cover,4.04203
Float,102.7351
Shares Outstanding,117.9482
Institutions Holding Shares,685.0
% Held by Institutions,0.7666670000000001
FCF Growth 5yr,0.45875999245564464
