,BLL
% Above Low,0.2595
% Held by Institutions,0.8204
52-Wk Range,['51.26 - 82.82']
Annual Dividend $,0.6
Annual Dividend %,0.0091
Ask,65.1
Ask Size,500.0
B/A Ratio,0.6
B/A Size,300x500
Beta,0.5
Bid,63.2
Bid Size,300.0
Change Since Close,0.00| |(0.00%)
Closing Price,64.56
Day Change $,-1.33
Day Change %,-0.0202
Day High,66.66
Day Low,63.56
Dividend Pay Date,2020-06-15 00:00:00
"EPS (TTM, GAAP)",1.39
Ex-dividend,2020-05-29 00:00:00
Ex-dividend Date,05/29/20
Historical Volatility,0.385
Last (size),2900.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,21.0B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",47.3
Prev Close,65.89
Shares Outstanding,325.8M
Short Interest,0.0166
Today's Open,66.07
Volume,3755882.0
Volume 10-day Avg,1678401.0
Volume Past Day,(Heavy Day)
