,BLL
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-0.020408163265306256
Growth 1yr High Est,0.12648221343873534
Growth 1yr Consensus Est,0.05303702508671454
Growth 2yr Low Est,0.04187925170068024
Growth 2yr High Est,0.1685042646141045
Growth 2yr Consensus Est,0.10519175815739237
Growth 5yr Low Est,0.08872400615594286
Growth 5yr High Est,0.1508962383420212
Growth 5yr Consensus Est,0.11981012224898203
Growth 5yr Actual/Est,0.1147396811553868
Growth 3yr Historic,0.05710784313725492
