,FLS,Rating Since
theStreet,hold,2020-03-11
newConstructs,2,2020-05-08
researchTeam,hold,2020-04-20
creditSuisse,outperform,2019-08-02
cfra,3,2018-03-06
ford,3,2020-04-03
marketEdge opinion,neutralfromavoid,2020-05-01
marketEdge,2,2020-05-01
