,FLS
Price/Earnings (TTM),18.46442
Price/Sales (TTM),0.90371
Price/Book (MRQ),2.14542
Price/Cash Flow (TTM),11.66051
5yr Low,18.98
5yr High,58.01
5yr Avg Return,-0.07546666666666665
EPS Growth 5yr,-0.1235804
Revenue Growth 5yr,-0.0415714
Dividend Growth 5yr,0.0415602
Short Int Current Month,4851563.0
Short Int Prev Month,2710819.0
Short Int Pct of Float,0.037373699999999996
Days to Cover,2.7099
Float,130.1533
Shares Outstanding,130.1127
Institutions Holding Shares,531.0
% Held by Institutions,1.000759
FCF Growth 5yr,0.19545613392117164
