,FLS
% Above Low,0.41100000000000003
% Held by Institutions,1.0008
52-Wk Range,['18.98 - 53.98']
Annual Dividend $,0.8
Annual Dividend %,0.0292
Ask,30.89
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.8
Bid,26.81
Bid Size,100.0
Closing Price,26.78
Day Change $,-0.65
Day Change %,-0.023700000000000002
Day High,27.64
Day Low,25.83
Dividend Pay Date,2020-04-09 00:00:00
"EPS (TTM, GAAP)",1.49
Ex-dividend,2020-03-26 00:00:00
Ex-dividend Date,03/26/20
Historical Volatility,0.517
Last (size),100.0
Last (time),6:30p ET 05/08/20
Market Cap,3.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",18.46
Prev Close,27.43
Shares Outstanding,130.1M
Short Interest,0.0374
Today's Open,26.0
Volume,2030311.0
Volume 10-day Avg,1321352.0
Volume Past Day,(Heavy Day)
