,FLS
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-0.4418604651162791
Growth 1yr High Est,0.1238938053097347
Growth 1yr Consensus Est,-0.15898332990327219
Growth 2yr Low Est,-0.26259689922480617
Growth 2yr High Est,0.1328130443871508
Growth 2yr Consensus Est,-0.06489192741882768
Growth 5yr Low Est,0.0020970727756566
Growth 5yr High Est,0.2016918374369912
Growth 5yr Consensus Est,0.1018944551063239
Growth 5yr Actual/Est,0.08684512364700733
Growth 3yr Historic,0.13597689075630254
