,CME
% Below High,0.1945
% Held by Institutions,0.8598
52-Wk Range,['131.80 - 225.36']
Annual Dividend $,3.4
Annual Dividend %,0.019
Ask,182.0
Ask Size,300.0
B/A Ratio,1.0
B/A Size,300x300
Beta,0.3
Bid,181.53
Bid Size,300.0
Closing Price,181.53
Day Change $,3.04
Day Change %,0.017
Day High,181.81
Day Low,179.74
Dividend Pay Date,2020-06-25 00:00:00
"EPS (TTM, GAAP)",6.66
Ex-dividend,2020-06-09 00:00:00
Ex-dividend Date,06/09/20
Historical Volatility,0.459
Last (size),2.0
Last (time),3:59p ET 05/08/20
Market Cap,65.1B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",26.81
Prev Close,178.49
Shares Outstanding,358.6M
Short Interest,0.0148
Today's Open,180.46
Volume,1445562.0
Volume 10-day Avg,1969333.0
Volume Past Day,(Light)
