,CME
Price/Earnings (TTM),26.80924
Price/Sales (TTM),12.28363
Price/Book (MRQ),2.40301
Price/Cash Flow (TTM),22.3868
5yr Low,81.87
5yr High,225.36
5yr Avg Return,0.13025
EPS Growth 5yr,0.11990360000000001
Revenue Growth 5yr,0.0935742
Dividend Growth 5yr,0.09797560000000001
Short Int Current Month,5221426.0
Short Int Prev Month,5043879.0
Short Int Pct of Float,0.0148013
Days to Cover,2.71705
Float,352.8955
Shares Outstanding,358.5852
Institutions Holding Shares,1411.0
% Held by Institutions,0.859756
FCF Growth 5yr,0.12500921354034947
