,SNPS
Price/Earnings (TTM),51.27721
Price/Sales (TTM),7.13013
Price/Book (MRQ),5.79871
Price/Cash Flow (TTM),35.12724
5yr Low,39.26
5yr High,166.87
5yr Avg Return,0.25144999999999995
EPS Growth 5yr,0.1601159
Revenue Growth 5yr,0.1031105
Dividend Growth 5yr,
Short Int Current Month,2515225.0
Short Int Prev Month,2678366.0
Short Int Pct of Float,0.0168702
Days to Cover,2.43275
Float,149.1329
Shares Outstanding,150.2271
Institutions Holding Shares,906.0
% Held by Institutions,0.8941169999999999
FCF Growth 5yr,0.19515862932802097
