,NVDA
% Below High,0.0121
% Held by Institutions,0.6661
52-Wk Range,['132.60 - 316.32']
Annual Dividend $,0.64
Annual Dividend %,0.0021
Ask,314.16
Ask Size,1300.0
B/A Ratio,0.07692307692307693
B/A Size,100x1300
Beta,1.3
Bid,313.71
Bid Size,100.0
Closing Price,312.5
Day Change $,7.63
Day Change %,0.025
Day High,312.75
Day Low,306.39
Dividend Pay Date,2020-03-20 00:00:00
"EPS (TTM, GAAP)",4.52
Ex-dividend,2020-02-27 00:00:00
Ex-dividend Date,02/27/20
Historical Volatility,0.5579999999999999
Last (size),1.0
Last (time),4:15p ET 05/08/20
Market Cap,192.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",67.42
Prev Close,304.87
Shares Outstanding,615.1M
Short Interest,0.0204
Today's Open,307.75
Volume,8497678.0
Volume 10-day Avg,9308339.0
Volume Past Day,(Average)
