,NVDA
Price/Earnings (TTM),67.42227
Price/Sales (TTM),17.17679
Price/Book (MRQ),15.31345
Price/Cash Flow (TTM),59.02935
5yr Low,19.09
5yr High,316.32
5yr Avg Return,0.7592833333333333
EPS Growth 5yr,0.32212670000000004
Revenue Growth 5yr,0.1845448
Dividend Growth 5yr,0.1348546
Short Int Current Month,11993211.0
Short Int Prev Month,11453634.0
Short Int Pct of Float,0.0204487
Days to Cover,0.87097
Float,589.5989
Shares Outstanding,615.1351
Institutions Holding Shares,2251.0
% Held by Institutions,0.666137
FCF Growth 5yr,0.43947676225559773
