,CB
Price/Earnings (TTM),12.36164
Price/Sales (TTM),1.31211
Price/Book (MRQ),0.85601
Price/Cash Flow (TTM),11.26004
5yr Low,87.35
5yr High,167.74
5yr Avg Return,0.013933333333333332
EPS Growth 5yr,0.0289156
Revenue Growth 5yr,0.1222262
Dividend Growth 5yr,0.0185576
Short Int Current Month,3574857.0
Short Int Prev Month,4011517.0
Short Int Pct of Float,0.0079711
Days to Cover,1.5844
Float,448.966
Shares Outstanding,451.3572
Institutions Holding Shares,1448.0
% Held by Institutions,0.8675390000000001
FCF Growth 5yr,
