,CB
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,-0.16410256410256407
Growth 1yr High Est,0.020793950850661602
Growth 1yr Consensus Est,-0.07165430662595124
Growth 2yr Low Est,0.0314456504640554
Growth 2yr High Est,0.07058216061051592
Growth 2yr Consensus Est,0.05101390553728566
Growth 5yr Low Est,0.10997882031298692
Growth 5yr High Est,0.13097899710206662
Growth 5yr Consensus Est,0.12047890870752677
Growth 5yr Actual/Est,0.12140473801643903
Growth 3yr Historic,0.09827585695295066
