,CB
% Above Low,0.1671
% Held by Institutions,0.8675
52-Wk Range,['87.35 - 167.74']
Annual Dividend $,3.0
Annual Dividend %,0.030299999999999997
Ask,129.42
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,96.0
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,101.95
Day Change $,2.96
Day Change %,0.029900000000000003
Day High,102.24
Day Low,99.38
Dividend Pay Date,2020-04-10 00:00:00
"EPS (TTM, GAAP)",8.01
Ex-dividend,2020-03-19 00:00:00
Ex-dividend Date,03/19/20
Historical Volatility,0.42
Last (size),10.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,46.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",12.36
Prev Close,98.99
Shares Outstanding,451.4M
Short Interest,0.008
Today's Open,100.8
Volume,4827990.0
Volume 10-day Avg,3526493.0
Volume Past Day,(Heavy Day)
