,PLD
Price/Earnings (TTM),34.05091
Price/Sales (TTM),18.80109
Price/Book (MRQ),2.06128
Price/Cash Flow (TTM),21.69931
5yr Low,35.25
5yr High,99.79
5yr Avg Return,0.16038333333333335
EPS Growth 5yr,0.1521015
Revenue Growth 5yr,0.13596170000000002
Dividend Growth 5yr,0.0993915
Short Int Current Month,7401231.0
Short Int Prev Month,7998834.0
Short Int Pct of Float,0.0100658
Days to Cover,1.48367
Float,735.2144
Shares Outstanding,739.0895
Institutions Holding Shares,1182.0
% Held by Institutions,0.868305
FCF Growth 5yr,0.0868525122174671
