,PLD
Next Earnings Announcement,2020-07-16 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.09740259740259749
Growth 2yr High Est,-0.024390243902438935
Growth 2yr Consensus Est,-0.06089642065251821
Growth 5yr Low Est,-0.09740259740259749
Growth 5yr High Est,-0.024390243902438935
Growth 5yr Consensus Est,-0.06089642065251821
Growth 5yr Actual/Est,-0.13457876420919365
Growth 3yr Historic,-0.057334722506888924
