,JPM
% Above Low,0.2053
% Held by Institutions,0.7281
52-Wk Range,['76.91 - 141.10']
Annual Dividend $,3.6
Annual Dividend %,0.0395
Ask,92.93
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.2
Bid,92.83
Bid Size,100.0
Closing Price,92.7
Day Change $,1.49
Day Change %,0.0163
Day High,94.08
Day Low,92.11
Dividend Pay Date,2020-04-30 00:00:00
"EPS (TTM, GAAP)",8.86
Ex-dividend,2020-04-03 00:00:00
Ex-dividend Date,04/03/20
Historical Volatility,0.46799999999999997
Last (size),10.0
Last (time),6:30p ET 05/08/20
Market Cap,282.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",10.3
Prev Close,91.21
Shares Outstanding,3.0B
Short Interest,0.0096
Today's Open,92.8
Volume,20494915.0
Volume 10-day Avg,19006359.0
Volume Past Day,(Average)
