,JPM
Price/Earnings (TTM),10.29716
Price/Sales (TTM),2.42146
Price/Book (MRQ),1.20189
Price/Cash Flow (TTM),8.58459
5yr Low,50.07
5yr High,141.1
5yr Avg Return,0.1014
EPS Growth 5yr,0.151938
Revenue Growth 5yr,0.1027663
Dividend Growth 5yr,0.16165690000000002
Short Int Current Month,28974482.0
Short Int Prev Month,26429653.0
Short Int Pct of Float,0.0095965
Days to Cover,1.11148
Float,3019.343
Shares Outstanding,3046.537
Institutions Holding Shares,3473.0
% Held by Institutions,0.72811
FCF Growth 5yr,
