,OKE
Price/Earnings (TTM),15.49148
Price/Sales (TTM),1.29331
Price/Book (MRQ),2.21432
Price/Cash Flow (TTM),9.52234
5yr Low,12.16
5yr High,78.48
5yr Avg Return,0.10676666666666668
EPS Growth 5yr,0.151426
Revenue Growth 5yr,-0.0357735
Dividend Growth 5yr,0.10683569999999999
Short Int Current Month,14620207.0
Short Int Prev Month,9576540.0
Short Int Pct of Float,0.035571
Days to Cover,1.93184
Float,411.1089
Shares Outstanding,413.9072
Institutions Holding Shares,1152.0
% Held by Institutions,0.73158
FCF Growth 5yr,-9.715580202009624
