,EIX
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.004728132387706863
Growth 1yr High Est,-0.06832298136645965
Growth 1yr Consensus Est,-0.03179742448937639
Growth 2yr Low Est,0.016481713252677
Growth 2yr High Est,0.02250517598343682
Growth 2yr Consensus Est,0.01949344461805691
Growth 5yr Low Est,0.011165681378574432
Growth 5yr High Est,0.03904233894957285
Growth 5yr Consensus Est,0.02510401016407364
Growth 5yr Actual/Est,0.010613065263953475
Growth 3yr Historic,0.013688085676037465
