,EIX
% Above Low,0.30760000000000004
% Held by Institutions,0.9218999999999999
52-Wk Range,['43.63 - 78.93']
Annual Dividend $,2.55
Annual Dividend %,0.046799999999999994
Ask,65.0
Ask Size,500.0
B/A Ratio,2.0
B/A Size,1000x500
Beta,0.6
Bid,55.3
Bid Size,1000.0
Closing Price,57.05
Day Change $,2.52
Day Change %,0.0462
Day High,57.31
Day Low,55.35
Dividend Pay Date,2020-04-30 00:00:00
"EPS (TTM, GAAP)",3.45
Ex-dividend,2020-03-30 00:00:00
Ex-dividend Date,03/30/20
Historical Volatility,0.43700000000000006
Last (size),964.0
Last (time),6:30p ET 05/08/20
Market Cap,20.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",15.82
Prev Close,54.53
Shares Outstanding,363.6M
Short Interest,0.0146
Today's Open,55.42
Volume,1507300.0
Volume 10-day Avg,2171252.0
Volume Past Day,(Light)
