,EIX
Price/Earnings (TTM),15.82355
Price/Sales (TTM),1.60589
Price/Book (MRQ),1.48456
Price/Cash Flow (TTM),6.60212
5yr Low,43.63
5yr High,83.38
5yr Avg Return,0.014716666666666664
EPS Growth 5yr,-0.0280237
Revenue Growth 5yr,-0.0164259
Dividend Growth 5yr,0.1152585
Short Int Current Month,5274014.0
Short Int Prev Month,6293990.0
Short Int Pct of Float,0.014559200000000001
Days to Cover,1.98352
Float,361.3813
Shares Outstanding,362.6142
Institutions Holding Shares,861.0
% Held by Institutions,0.921887
FCF Growth 5yr,0.8081273190020412
