,DRE
Price/Earnings (TTM),30.10046
Price/Sales (TTM),13.08816
Price/Book (MRQ),2.46783
Price/Cash Flow (TTM),17.42599
5yr Low,17.6
5yr High,38.88
5yr Avg Return,0.10316666666666668
EPS Growth 5yr,0.1813833
Revenue Growth 5yr,-0.0143713
Dividend Growth 5yr,0.0529185
Short Int Current Month,5982455.0
Short Int Prev Month,5938399.0
Short Int Pct of Float,0.0162705
Days to Cover,2.07899
Float,367.6919
Shares Outstanding,368.3429
Institutions Holding Shares,685.0
% Held by Institutions,0.970211
FCF Growth 5yr,-0.14723310140923346
