,DRE
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.04444444444444429
Growth 2yr High Est,0.19999999999999996
Growth 2yr Consensus Est,0.12222222222222212
Growth 5yr Low Est,0.04444444444444429
Growth 5yr High Est,0.19999999999999996
Growth 5yr Consensus Est,0.12222222222222212
Growth 5yr Actual/Est,-0.2747045813289759
Growth 3yr Historic,-0.16563678471880638
