,DRE
% Below High,0.1276
% Held by Institutions,0.9702
52-Wk Range,['25.19 - 38.88']
Annual Dividend $,0.94
Annual Dividend %,0.028300000000000002
Ask,37.5
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,0.7
Bid,31.0
Bid Size,400.0
Closing Price,33.92
Day Change $,0.69
Day Change %,0.0208
Day High,34.05
Day Low,33.37
Dividend Pay Date,2020-05-29 00:00:00
"EPS (TTM, GAAP)",1.1
Ex-dividend,2020-05-13 00:00:00
Ex-dividend Date,05/13/20
Historical Volatility,0.434
Last (size),61000.0
Last (time),6:30p ET 05/08/20
Market Cap,12.5B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",30.1
Prev Close,33.23
Shares Outstanding,368.4M
Short Interest,0.0163
Today's Open,33.81
Volume,1879447.0
Volume 10-day Avg,2279976.0
Volume Past Day,(Below Average)
