,AVGO
% Below High,0.1705
% Held by Institutions,0.8237000000000001
52-Wk Range,['155.67 - 331.58']
Annual Dividend $,13.0
Annual Dividend %,0.048600000000000004
Ask,276.99
Ask Size,100.0
Ask close,275.94
B/A Ratio,2.0
B/A Size,200x100
Beta,0.9
Bid,274.61
Bid Size,200.0
Bid close,274.56
Change Since Close,-0.03| |(-0.01%)
Closing Price,275.03
Day Change $,7.28
Day Change %,0.027200000000000002
Day High,275.55
Day Low,270.03
Dividend Pay Date,2020-03-31 00:00:00
"EPS (TTM, GAAP)",6.05
Ex-dividend,2020-03-20 00:00:00
Ex-dividend Date,03/20/20
Historical Volatility,0.524
Last (size),6.0
Last (time),4:15p ET 05/08/20
Last Trade,275.0
Market Cap,110.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",44.27
Prev Close,267.75
Shares Outstanding,399.8M
Short Interest,0.016200000000000003
Today's Open,272.2
Volume,1676190.0
Volume 10-day Avg,2175408.0
Volume Past Day,(Light)
