,AVGO
Price/Earnings (TTM),44.27354
Price/Sales (TTM),4.72267
Price/Book (MRQ),4.38412
Price/Cash Flow (TTM),12.43398
5yr Low,100.0
5yr High,331.58
5yr Avg Return,0.1616333333333333
EPS Growth 5yr,0.41047580000000006
Revenue Growth 5yr,0.3955485
Dividend Growth 5yr,0.5647519
Short Int Current Month,6301540.0
Short Int Prev Month,5421460.0
Short Int Pct of Float,0.0161737
Days to Cover,2.02992
Float,389.6674
Shares Outstanding,399.7914
Institutions Holding Shares,1745.0
% Held by Institutions,0.8236979999999999
FCF Growth 5yr,0.4450839734947333
