,MO
Price/Earnings (TTM),
Price/Sales (TTM),2.52423
Price/Book (MRQ),9.96924
Price/Cash Flow (TTM),
5yr Low,30.95
5yr High,77.79
5yr Avg Return,-0.035399999999999994
EPS Growth 5yr,
Revenue Growth 5yr,0.0047503
Dividend Growth 5yr,0.1057521
Short Int Current Month,12057198.0
Short Int Prev Month,10299108.0
Short Int Pct of Float,0.0064973999999999995
Days to Cover,1.12511
Float,1855.939
Shares Outstanding,1858.368
Institutions Holding Shares,2032.0
% Held by Institutions,0.6188089999999999
FCF Growth 5yr,0.1213137778159408
